VARIABLES=X/D,CP(0),CP(30),CP(60),CP(90),CP(120),CP(150),CP(180)
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  0.00"
      0.136237   0.10225   0.10788   0.13738   0.21712   0.35877   0.51863   0.59275
      0.177214   0.09750   0.10282   0.13151   0.21003   0.35041   0.50940   0.58326
      0.230103   0.09147   0.09641   0.12403   0.20100   0.33974   0.49761   0.57113
      0.298088   0.08389   0.08834   0.11459   0.18958   0.32620   0.48264   0.55571
      0.385020   0.07449   0.07831   0.10283   0.17528   0.30920   0.46380   0.53631
      0.495427   0.06301   0.06603   0.08835   0.15760   0.28810   0.44035   0.51215
      0.634452   0.04929   0.05129   0.07087   0.13611   0.26231   0.41160   0.48249
      0.807620   0.03330   0.03404   0.05020   0.11050   0.23134   0.37694   0.44670
      1.020410   0.01526   0.01443   0.02641   0.08069   0.19498   0.33601   0.40438
      1.277532  -0.00425  -0.00703  -0.00011   0.04699   0.15336   0.28882   0.35550
      1.581923  -0.02432  -0.02948  -0.02859   0.01009   0.10708   0.23584   0.30046
      1.933512  -0.04348  -0.05162  -0.05786  -0.02876   0.05736   0.17814   0.24030
      2.327993  -0.05991  -0.07179  -0.08642  -0.06796   0.00589   0.11728   0.17649
      2.755995  -0.07121  -0.08800  -0.11263  -0.10560  -0.04517   0.05530   0.11093
      3.000000  -0.07398  -0.09431  -0.12550  -0.12510  -0.07246   0.02134   0.07469
      3.000000  -0.07397  -0.09430  -0.12550  -0.12510  -0.07245   0.02134   0.07470
      3.022500  -0.07213  -0.09299  -0.12513  -0.12540  -0.07315   0.02054   0.07396
      3.067500  -0.06917  -0.09104  -0.12495  -0.12652  -0.07518   0.01811   0.07153
      3.135000  -0.06389  -0.08734  -0.12397  -0.12744  -0.07726   0.01567   0.06922
      3.225000  -0.05760  -0.08306  -0.12313  -0.12900  -0.08038   0.01189   0.06547
      3.337500  -0.04966  -0.07759  -0.12183  -0.13051  -0.08368   0.00784   0.06146
      3.472500  -0.04076  -0.07150  -0.12044  -0.13223  -0.08739   0.00315   0.05670
      3.630000  -0.03093  -0.06475  -0.11877  -0.13384  -0.09111  -0.00171   0.05169
      3.810000  -0.02060  -0.05763  -0.11690  -0.13529  -0.09470  -0.00660   0.04651
      4.012500  -0.01005  -0.05028  -0.11477  -0.13639  -0.09790  -0.01122   0.04149
      4.237500   0.00033  -0.04295  -0.11238  -0.13705  -0.10054  -0.01536   0.03682
      4.485000   0.01011  -0.03590  -0.10979  -0.13721  -0.10252  -0.01888   0.03266
      4.755000   0.01905  -0.02926  -0.10697  -0.13677  -0.10368  -0.02156   0.02927
      5.047500   0.02682  -0.02327  -0.10400  -0.13577  -0.10404  -0.02335   0.02671
      5.362500   0.03334  -0.01796  -0.10090  -0.13418  -0.10354  -0.02415   0.02514
      5.700000   0.03843  -0.01354  -0.09781  -0.13216  -0.10233  -0.02409   0.02445
      6.060000   0.04222  -0.00991  -0.09477  -0.12975  -0.10047  -0.02317   0.02469
      6.442501   0.04475  -0.00713  -0.09190  -0.12713  -0.09816  -0.02160   0.02567
      6.847501   0.04620  -0.00512  -0.08930  -0.12445  -0.09557  -0.01955   0.02722
      7.275001   0.04683  -0.00374  -0.08698  -0.12182  -0.09285  -0.01717   0.02920
      7.725000   0.04679  -0.00294  -0.08504  -0.11940  -0.09022  -0.01472   0.03135
      8.197500   0.04639  -0.00250  -0.08343  -0.11723  -0.08775  -0.01230   0.03359
      8.692500   0.04584  -0.00230  -0.08211  -0.11535  -0.08554  -0.01002   0.03575
      9.210000   0.04533  -0.00216  -0.08104  -0.11376  -0.08360  -0.00794   0.03780
      9.750000   0.04490  -0.00209  -0.08020  -0.11249  -0.08201  -0.00617   0.03958
     10.000000   0.04460  -0.00218  -0.07998  -0.11210  -0.08151  -0.00561   0.04014
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  0.00"
      0.000000   0.28496   0.28496   0.28496   0.28496   0.28496   0.28496   0.28496
      0.027563   0.28025   0.28025   0.28025   0.28025   0.28025   0.28025   0.28025
      0.036025   0.27877   0.27877   0.27877   0.27877   0.27877   0.27877   0.27877
      0.047066   0.27690   0.27690   0.27690   0.27690   0.27690   0.27690   0.27690
      0.061462   0.27442   0.27442   0.27442   0.27442   0.27442   0.27442   0.27442
      0.080210   0.27125   0.27125   0.27125   0.27125   0.27125   0.27125   0.27125
      0.104591   0.26713   0.26713   0.26713   0.26713   0.26713   0.26713   0.26713
      0.136237   0.26183   0.26183   0.26183   0.26183   0.26183   0.26183   0.26183
      0.177214   0.25504   0.25504   0.25504   0.25504   0.25504   0.25504   0.25504
      0.230103   0.24639   0.24639   0.24639   0.24639   0.24639   0.24639   0.24639
      0.298088   0.23547   0.23547   0.23547   0.23547   0.23547   0.23547   0.23547
      0.385020   0.22184   0.22184   0.22184   0.22184   0.22184   0.22184   0.22184
      0.495427   0.20504   0.20504   0.20504   0.20504   0.20504   0.20504   0.20504
      0.634452   0.18471   0.18471   0.18471   0.18471   0.18471   0.18471   0.18471
      0.807620   0.16062   0.16062   0.16062   0.16062   0.16062   0.16062   0.16062
      1.020410   0.13282   0.13282   0.13282   0.13282   0.13282   0.13282   0.13282
      1.277532   0.10170   0.10170   0.10170   0.10170   0.10170   0.10170   0.10170
      1.581923   0.06810   0.06810   0.06810   0.06810   0.06810   0.06810   0.06810
      1.933512   0.03338   0.03338   0.03338   0.03338   0.03338   0.03338   0.03338
      2.327993  -0.00079  -0.00079  -0.00079  -0.00079  -0.00079  -0.00079  -0.00079
      2.755995  -0.03243  -0.03243  -0.03243  -0.03243  -0.03243  -0.03243  -0.03243
      3.000000  -0.04801  -0.04801  -0.04801  -0.04801  -0.04801  -0.04801  -0.04801
      3.000000  -0.04801  -0.04801  -0.04801  -0.04801  -0.04801  -0.04801  -0.04801
      3.022500  -0.04728  -0.04728  -0.04728  -0.04728  -0.04728  -0.04728  -0.04728
      3.067500  -0.04661  -0.04661  -0.04661  -0.04661  -0.04661  -0.04661  -0.04661
      3.135000  -0.04465  -0.04465  -0.04465  -0.04465  -0.04465  -0.04465  -0.04465
      3.225000  -0.04277  -0.04277  -0.04277  -0.04277  -0.04277  -0.04277  -0.04277
      3.337500  -0.04019  -0.04019  -0.04019  -0.04019  -0.04019  -0.04019  -0.04019
      3.472500  -0.03752  -0.03752  -0.03752  -0.03752  -0.03752  -0.03752  -0.03752
      3.630000  -0.03459  -0.03459  -0.03459  -0.03459  -0.03459  -0.03459  -0.03459
      3.810000  -0.03162  -0.03162  -0.03162  -0.03162  -0.03162  -0.03162  -0.03162
      4.012500  -0.02859  -0.02859  -0.02859  -0.02859  -0.02859  -0.02859  -0.02859
      4.237500  -0.02563  -0.02563  -0.02563  -0.02563  -0.02563  -0.02563  -0.02563
      4.485000  -0.02283  -0.02283  -0.02283  -0.02283  -0.02283  -0.02283  -0.02283
      4.755000  -0.02017  -0.02017  -0.02017  -0.02017  -0.02017  -0.02017  -0.02017
      5.047500  -0.01774  -0.01774  -0.01774  -0.01774  -0.01774  -0.01774  -0.01774
      5.362500  -0.01546  -0.01546  -0.01546  -0.01546  -0.01546  -0.01546  -0.01546
      5.700000  -0.01345  -0.01345  -0.01345  -0.01345  -0.01345  -0.01345  -0.01345
